ID,Year,Edition,Expansion,Number,Team,Name,Points,Icons,Position1,Position2,Hand,OnBase,Out_H,HR_H,Speed,Control,Out_P,HR_P,IP,PU,SO,GB,FB,BB,Single,SinglePlus,Double,Triple,HR,Def_C,Def_1B,Def_2B,Def_SS,Def_3B,Def_LFRF,Def_CF,Icon_R,Icon_RY,Icon_G,Icon_S,Icon_SB,Icon_HR,Icon_V,Icon_20,Icon_CY,Icon_K
531,'04,UL,TD,28,Royals,Scott Sullivan,150,,Reliever,,R,NA,NA,NA,NA,3,16,25,1,'1-2,'3-7,'8-14,'15-16,'17-18,'19-22,','23-24,','25+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
532,'04,P,Base,28,Red Sox,Damian Jackson,180,,IF+1,OF+1,R,10,6,21,20,NA,NA,NA,NA,','1-2,'3-4,'5-6,'7-9,'10-17,'18,'19-20,','21+,NA,1,1,1,1,1,1,,,,,,,,,,
533,'04,UL,PR,28,Dodgers,Eric Gagne,330,,Closer,,R,NA,NA,NA,NA,6,17,23,1,'1-2,'3-9,'10-14,'15-17,'18,'19-20,','21-22,','23+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
534,'05,UL,Base,28,Braves,Andruw Jones,260,G,CF+3,,R,10,6,19,15,NA,NA,NA,NA,','1-2,'3-4,'5-6,'7-11,'12-16,','17-18,','19+,NA,NA,NA,NA,NA,NA,3,,,1,,,,,,,
535,'05,UL,TD,28,Rangers,Sandy Alomar Jr.,50,,C+7,,R,9,6,20,10,NA,NA,NA,NA,','1,'2-4,'5-6,'7-9,'10-18,','19,','20+,7,NA,NA,NA,NA,NA,NA,,,,,,,,,,
536,'05,UL,TD,29,Marlins,John Riedling,40,,Reliever,,R,NA,NA,NA,NA,1,16,25,1,'1-3,'4-6,'7-14,'15-16,'17,'18-19,','20-24,','25+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
537,'00,1st,Base,29,Diamondbacks,Greg Swindell,140,,Reliever,,L,NA,NA,NA,NA,3,17,NA,1,'6-7,'1-5,'8-11,'12-17,'18,'19-20,',',',',NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
538,'00,1st,PR,29,Cubs,Kerry Wood,520,,Starter,,R,NA,NA,NA,NA,4,16,NA,6,'10-11,'1-9,'12-13,'14-16,'17-19,'20,',',',',NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
539,'01,1st,Base,29,Diamondbacks,Matt Williams,120,,3B+2,,R,7,5,19,10,NA,NA,NA,NA,',','1-3,'4-5,'6,'7-15,','16-18,','19-20,NA,NA,NA,NA,2,NA,NA,,,,,,,,,,
540,'01,1st,PR,29,Pirates,Francisco Cordova,190,,Starter,,R,NA,NA,NA,NA,1,17,NA,6,'1-3,'4-7,'8-14,'15-17,'18,'19,','20,',',NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
541,'02,UL,Base,29,Braves,Andruw Jones,260,,CF+3,LF-RF+2,R,9,6,18,16,NA,NA,NA,NA,','1-3,'4-5,'6,'7-10,'11-15,'16,'17,','18+,NA,NA,NA,NA,NA,2,3,,,,,,,,,,
542,'02,UL,TD,29,Indians,Brady Anderson,60,,LF-RF+1,,L,9,7,23,19,NA,NA,NA,NA,','1,'2-5,'6-7,'8-14,'15-18,'19,','20-22,'23+,NA,NA,NA,NA,NA,1,NA,,,,,,,,,,
543,'02,UL,PR,29,Phillies,Vicente Padilla,510,,Starter,,R,NA,NA,NA,NA,5,16,27,7,'1-2,'3-6,'7-15,'16,','17-19,','20-26,','27+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
544,'02,ASG,ASG,29,Reds,Adam Dunn,470,,LF-RF+1,,L,12,7,19,15,NA,NA,NA,NA,','1-6,','7,'8-11,'12-16,','14-18,','19+,NA,NA,NA,NA,NA,1,NA,,,,,,,,,,
545,'03,UL,Base,29,Braves,Tom Glavine,310,,Starter,,L,NA,NA,NA,NA,3,16,24,6,'1,'2-4,'5-11,'12-16,'17,'18-19,','20-23,','24+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
546,'03,P,Base,29,Angels,Troy Glaus,270,,3B+1,,R,10,6,19,12,NA,NA,NA,NA,','1-2,'3-4,'5-6,'7-11,'12-15,'16,'17-18,','19+,NA,NA,NA,NA,1,NA,NA,,,,,,,,,,
547,'03,UL,TD,29,Cubs,Carlos Zambrano,130,,Starter,,R,NA,NA,NA,NA,2,16,22,5,'1,'2-6,'7-14,'15-16,'17-18,'19,','20-21,','22+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
548,'03,UL,PR,29,Mariners,Ryan Franklin,120,,Starter,,R,NA,NA,NA,NA,2,17,22,6,'1-2,'3-4,'5-10,'11-17,'18,'19,','20-21,','22+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
549,'04,UL,Base,29,Braves,Javy Lopez,680,S,C+7,,R,12,6,18,10,NA,NA,NA,NA,','1-2,'3-4,'5-6,'7-9,'10-15,','16-17,','18+,7,NA,NA,NA,NA,NA,NA,,,,1,,,,,,
550,'04,UL,TD,29,Cubs,Michael Barrett,160,,C+8,,R,9,6,19,10,NA,NA,NA,NA,','1,'2-4,'5-6,'7-10,'11-16,','17-18,','19+,8,NA,NA,NA,NA,NA,NA,,,,,,,,,,
551,'04,P,Base,29,Braves,Darren Bragg,40,,OF+1,,L,9,6,20,11,NA,NA,NA,NA,','1-2,'3-4,'5-6,'7-9,'10-18,','19,','20+,NA,NA,NA,NA,NA,1,1,,,,,,,,,,
552,'04,UL,PR,29,Dodgers,Kazuhisha Ishii,400,,Starter,,L,NA,NA,NA,NA,4,16,24,7,'1-4,'5-6,'7-12,'13-16,'17,'18-19,','20-23,','24+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
553,'05,UL,Base,29,Braves,Chipper Jones,200,,3B+1,,S,10,5,19,10,NA,NA,NA,NA,','1,'2-3,'4-5,'6-12,'13-17,','18,','19+,NA,NA,NA,NA,1,NA,NA,,,,,,,,,,
554,'02,UL,TD,30,Pirates,Pokey Reese,120,,2B+3,SS+1,R,8,7,20,19,NA,NA,NA,NA,','1-2,'3,'4-7,'8-10,'11-15,'16-17,'18-19,','20+,NA,NA,3,1,NA,NA,NA,,,,,,,,,,
555,'02,UL,PR,30,Royals,Carlos Beltran,300,,CF+3,,S,9,6,20,21,NA,NA,NA,NA,','1-3,'4,'5-6,'7-9,'10-14,'15-16,'17-18,'19,'20+,NA,NA,NA,NA,NA,NA,3,,,,,,,,,,
556,'02,ASG,ASG,30,Dodgers,Eric Gagne,200,,Closer,,R,NA,NA,NA,NA,3,18,22,1,'1-2,'3-8,'9-13,'14-18,'19,'20,','21,','22+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
557,'03,UL,Base,30,Braves,Andruw Jones,280,G,CF+3,,R,10,6,19,12,NA,NA,NA,NA,','1-2,'3-4,'5-6,'7-11,'12-16,','17-18,','19+,NA,NA,NA,NA,NA,NA,3,,,1,,,,,,,
558,'03,P,Base,30,Reds,Barry Larkin,140,,SS+2,,R,9,7,20,13,NA,NA,NA,NA,','1,'2-4,'5-7,'8-10,'11-15,'16,'17-19,','20+,NA,NA,NA,2,NA,NA,NA,,,,,,,,,,
559,'03,UL,TD,30,Tigers,Dean Palmer,140,,DH,,R,9,6,19,10,NA,NA,NA,NA,','1-2,'3-4,'5-6,'7-11,'12-16,','17-18,','19+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
560,'03,UL,PR,30,Reds,Juan Castro,120,,2B+4,,R,9,7,20,12,NA,NA,NA,NA,','1-2,'3-5,'6-7,'8-9,'10-19,',',','20+,NA,NA,4,NA,NA,NA,NA,,,,,,,,,,
561,'04,UL,Base,30,Braves,Greg Maddux,350,,Starter,,R,NA,NA,NA,NA,4,17,25,6,'1,'2-4,'5-13,'14-17,','18-19,','20-24,','25+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
562,'04,UL,TD,30,Devil Rays,Jose Cruz,200,G,LF-RF+2,,R,11,6,20,14,NA,NA,NA,NA,','1-2,'3-4,'5-6,'7-12,'13-17,','18-19,','20+,NA,NA,NA,NA,NA,2,NA,,,1,,,,,,,
563,'04,P,Base,30,Orioles,David Segui,90,,DH,,L,11,7,20,10,NA,NA,NA,NA,','1-2,'3-5,'6-7,'8-11,'12-17,','18-19,','20+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
564,'04,UL,PR,30,Orioles,B.J. Ryan,240,,Reliever,,L,NA,NA,NA,NA,5,16,28,1,'1-2,'3-9,'10-14,'15-16,'17-18,'19-23,','24-27,','28+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
565,'05,UL,Base,30,Braves,Eli Marrero,250,,LF-RF+1,,R,12,7,20,10,NA,NA,NA,NA,','1-2,'3-4,'5-7,'8-10,'11-17,','18-19,','20+,NA,NA,NA,NA,NA,1,NA,,,,,,,,,,
566,'05,UL,TD,30,Athletics,Rich Harden,480,,Starter,,R,NA,NA,NA,NA,5,16,26,7,'1,'2-4,'5-12,'13-16,'17,'18-20,','21-25,','26+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
567,'00,1st,Base,30,Diamondbacks,Matt Williams,330,,3B+3,,R,7,3,16,15,NA,NA,NA,NA,',','1,'2-3,','4-12,','13-15,','16-20,NA,NA,NA,NA,3,NA,NA,,,,,,,,,,
568,'00,1st,PR,30,Cubs,Eric Young,210,,2B+3,,R,8,4,NA,20,NA,NA,NA,NA,',','1-2,'3-4,'5-10,'11-16,'17-18,'19-20,',',NA,NA,3,NA,NA,NA,NA,,,,,,,,,,
569,'01,1st,Base,30,Diamondbacks,Tony Womack,110,,SS+2,,L,7,5,NA,20,NA,NA,NA,NA,',','1-3,'4-5,'6,'7-14,'15-17,'18,'19-20,',NA,NA,NA,2,NA,NA,NA,,,,,,,,,,
570,'01,1st,PR,30,Rockies,Craig House,10,,Reliever,,R,NA,NA,NA,NA,3,14,NA,1,'1-2,'3-6,'7-11,'12-14,'15-19,'20,',',',',NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
571,'02,UL,Base,30,Braves,Chipper Jones,550,,3B+1,,S,12,5,18,15,NA,NA,NA,NA,','1,'2-4,'5,'6-9,'10-15,','16-17,','18+,NA,NA,NA,NA,1,NA,NA,,,,,,,,,,
572,'00,1st,Base,31,Diamondbacks,Tony Womack,210,,LF-RF+2,,L,7,3,20,20,NA,NA,NA,NA,',','1-2,'3,'4-6,'7-12,'13-17,'18,'19,'20+,NA,NA,NA,NA,NA,2,NA,,,,,,,,,,
573,'00,1st,PR,31,White Sox,Keith Foulke,350,,Reliever,,R,NA,NA,NA,NA,4,18,NA,2,'8-10,'1-7,'11-13,'14-18,','19,','20,',',NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
574,'01,1st,Base,31,Braves,Andy Ashby,340,,Starter,,R,NA,NA,NA,NA,2,17,NA,6,'1-2,'3-5,'6-13,'14-17,','18-19,','20,',',NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
575,'01,1st,PR,31,Expos,Scott Strickland,220,,Reliever,,R,NA,NA,NA,NA,5,16,NA,1,'1-2,'3-8,'9-13,'14-16,'17,'18-19,','20,',',NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
576,'02,UL,Base,31,Braves,Brian Jordan,200,,LF-RF+2,,R,10,6,19,14,NA,NA,NA,NA,','1,'2-4,'5-6,'7-8,'9-16,','17-18,','19+,NA,NA,NA,NA,NA,2,NA,,,,,,,,,,
577,'02,UL,TD,31,Giants,Reggie Sanders,280,,LF-RF+1,,R,10,7,17,18,NA,NA,NA,NA,','1-5,','6-7,'8-12,'13-14,'15,'16,','17+,NA,NA,NA,NA,NA,1,NA,,,,,,,,,,
578,'02,UL,PR,31,Marlins,Mike Lowell,260,,3B+2,,R,11,6,20,11,NA,NA,NA,NA,','1,'2,'3-6,'7-9,'10-15,','16-19,','20+,NA,NA,NA,NA,2,NA,NA,,,,,,,,,,
579,'02,ASG,ASG,31,Diamondbacks,Luis Gonzalez,630,,LF-RF+1,,L,12,5,18,14,NA,NA,NA,NA,','1,'2-3,'4-5,'6-10,'11-14,','15-17,','18+,NA,NA,NA,NA,NA,1,NA,,,,,,,,,,
580,'03,UL,Base,31,Braves,Keith Lockhart,40,,2B+3,,L,8,7,20,9,NA,NA,NA,NA,','1,'2-4,'5-7,'8-11,'12-17,','18-19,','20+,NA,NA,3,NA,NA,NA,NA,,,,,,,,,,
581,'03,P,Base,31,Red Sox,Manny Ramirez,490,S,LF-RF+0,,R,13,6,19,8,NA,NA,NA,NA,','1-2,'3-4,'5-6,'7-11,'12-16,','17-18,','19+,NA,NA,NA,NA,NA,0,NA,,,,1,,,,,,
582,'03,UL,TD,31,Cubs,Mark Grudzielanek,140,,2B+1,,R,9,7,20,10,NA,NA,NA,NA,','1-2,'3-5,'6-7,'8-9,'10-18,','19,','20+,NA,NA,1,NA,NA,NA,NA,,,,,,,,,,
583,'03,UL,PR,31,Tigers,Craig Monroe,120,R,LF-RF+2,,R,9,7,19,10,NA,NA,NA,NA,','1-2,'3-5,'6-7,'8-11,'12-17,','18,','19+,NA,NA,NA,NA,NA,2,NA,1,,,,,,,,,
584,'04,UL,Base,31,Braves,Russ Ortiz,290,20,Starter,,R,NA,NA,NA,NA,3,16,26,6,'1-4,'5-8,'9-14,'15-16,'17,'18-19,','20-25,','26+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,1,,
585,'04,UL,TD,31,Devil Rays,Robert Fick,160,,LF-RF+1,,L,9,5,20,11,NA,NA,NA,NA,','1,'2-3,'4-5,'6-9,'10-16,','17-19,','20+,NA,NA,NA,NA,NA,1,NA,,,,,,,,,,
586,'04,P,Base,31,Giants,Jesse Foppert,90,R,Starter,,R,NA,NA,NA,NA,1,18,24,5,'1-2,'3-6,'7-10,'11-18,'19,'20-21,','22-23,','24+,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,,,
587,'04,UL,PR,31,Athletics,Mark Mulder,450,,Starter,,L,NA,NA,NA,NA,5,16,26,7,'1,'2-6,'7-13,'14-16,'17,'18-19,','20-25,','26+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
588,'05,UL,Base,31,Braves,John Smoltz,220,,Closer,,R,NA,NA,NA,NA,5,17,25,1,'1-3,'4-9,'10-15,'16-17,'18,'19-22,','23-24,','25+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
589,'05,UL,TD,31,Mariners,Aaron Sele,20,,Starter,,R,NA,NA,NA,NA,1,15,25,5,'1-3,'4-5,'6-12,'13-15,'16,'17-19,','20-24,','25+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
590,'05,UL,TD,32,Mets,Carlos Beltran,520,,CF+2,,S,11,6,19,23,NA,NA,NA,NA,','1,'2-3,'4-6,'7-11,'12,'13-16,'17,'18,'19+,NA,NA,NA,NA,NA,NA,2,,,,,,,,,,
591,'00,1st,Base,32,Braves,Bret Boone,190,,2B+2,,R,6,2,17,15,NA,NA,NA,NA,',','1,'2,'3-5,'6-11,'12,'13-16,','17-20,NA,NA,2,NA,NA,NA,NA,,,,,,,,,,
592,'00,1st,PR,32,White Sox,Mark L. Johnson,190,,C+7,,L,8,5,20,15,NA,NA,NA,NA,','1-3,'4,'5,'6-13,'14-17,','18-19,','20+,7,NA,NA,NA,NA,NA,NA,,,,,,,,,,
593,'01,1st,Base,32,Braves,Bobby Bonilla,140,,LF-RF+0,,S,8,5,20,10,NA,NA,NA,NA,','1-2,','3-5,'6-11,'12-16,','17-18,'19,'20+,NA,NA,NA,NA,NA,0,NA,,,,,,,,,,
594,'01,1st,PR,32,Astros,Octavio Dotel,200,,Starter,,R,NA,NA,NA,NA,6,14,20,6,'1-3,'4-8,'9-10,'11-14,'15-16,'17-18,','19,','20+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
595,'02,UL,Base,32,Braves,Steve Karsay,230,,Reliever,,R,NA,NA,NA,NA,4,18,27,1,'1,'2-7,'8-14,'15-18,','19-26,',',','27+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
596,'02,UL,TD,32,Mariners,Jeff Cirillo,280,,3B+3,,R,10,5,20,17,NA,NA,NA,NA,',','1-4,'5,'6-7,'8-16,'17,'18-19,','20+,NA,NA,NA,NA,3,NA,NA,,,,,,,,,,
597,'02,UL,PR,32,Indians,Omar Vizquel,310,,SS+4,,S,11,7,22,19,NA,NA,NA,NA,','1,'2-5,'6-7,'8-11,'12-15,'16,'17,'18-21,'22+,NA,NA,NA,4,NA,NA,NA,,,,,,,,,,
598,'02,ASG,ASG,32,Dodgers,Shawn Green,500,,LF-RF+1,,L,11,6,17,18,NA,NA,NA,NA,','1-3,'4-5,'6,'7-10,'11-14,'15,'16,','17+,NA,NA,NA,NA,NA,1,NA,,,,,,,,,,
599,'03,UL,Base,32,Braves,Javy Lopez,70,,C+6,,R,8,6,20,8,NA,NA,NA,NA,','1,'2-4,'5-6,'7-9,'10-17,','18-19,','20+,6,NA,NA,NA,NA,NA,NA,,,,,,,,,,
600,'03,P,Base,32,Diamondbacks,Steve Finley,350,,CF+1,,L,10,5,19,14,NA,NA,NA,NA,','1,'2-3,'4-5,'6-9,'10-14,'15-16,'17-18,','19+,NA,NA,NA,NA,NA,NA,1,,,,,,,,,,
601,'03,UL,TD,32,Diamondbacks,Matt Williams,140,,3B+0,,R,9,6,19,10,NA,NA,NA,NA,','1-2,'3-4,'5-6,'7-10,'11-17,','18,','19+,NA,NA,NA,NA,0,NA,NA,,,,,,,,,,
602,'03,UL,PR,32,Pirates,Joe Beimel,130,,Reliever,,L,NA,NA,NA,NA,3,17,23,1,'1-2,'3-7,'8-15,'16-17,'18,'19-21,','22,','23+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
603,'04,UL,Base,32,Braves,Gary Sheffield,510,S,LF-RF+1,,R,13,6,19,16,NA,NA,NA,NA,','1,'2-4,'5-6,'7-10,'11-15,'16,'17-18,','19+,NA,NA,NA,NA,NA,1,NA,,,,1,,,,,,
604,'04,UL,TD,32,Rangers,Brad Fullmer,160,,1B+0,,L,11,6,19,11,NA,NA,NA,NA,','1,'2-3,'4-6,'7-10,'11-17,','18,','19+,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,
605,'04,P,Base,32,Rockies,Greg Norton,70,,3B+2,1B+0,S,9,6,20,11,NA,NA,NA,NA,','1-2,'3-4,'5-6,'7-10,'11-16,','17-19,','20+,NA,0,NA,NA,2,NA,NA,,,,,,,,,,
606,'04,UL,PR,32,Rangers,Gerald Laird,260,R,C+10,,R,13,7,21,8,NA,NA,NA,NA,','1-2,'3-5,'6-7,'8-10,'11-18,','19-20,','21+,10,NA,NA,NA,NA,NA,NA,1,,,,,,,,,
607,'05,UL,Base,32,Braves,John Thomson,290,,Starter,,R,NA,NA,NA,NA,3,16,25,6,'1-2,'3-6,'7-13,'14-16,'17,'18-19,','20-24,','25+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
608,'02,UL,TD,33,Reds,Juan Encarnacion,140,,LF-RF+1,,R,8,6,19,19,NA,NA,NA,NA,','1-3,'4,'5-6,'7-8,'9-14,'15,'16-17,'18,'19+,NA,NA,NA,NA,NA,1,NA,,,,,,,,,,
609,'02,UL,PR,33,Astros,Ricky Stone,70,,Reliever,,R,NA,NA,NA,NA,2,17,24,1,'1-3,'4-6,'9-14,'15-17,'18-23,',',',','24+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
610,'02,ASG,ASG,33,Expos,Vladimir Guerrero,450,,LF-RF+1,,R,11,7,18,18,NA,NA,NA,NA,','1,'2-5,'6-7,'8-10,'11-13,'14,'15-17,','18+,NA,NA,NA,NA,NA,1,NA,,,,,,,,,,
611,'03,UL,Base,33,Braves,Greg Maddux,410,,Starter,,R,NA,NA,NA,NA,4,16,25,6,'1-2,'3-5,'6-14,'15-16,'17,'18-19,','20-24,','25+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
612,'03,P,Base,33,Blue Jays,Shannon Stewart,300,,LF-RF+1,,R,11,6,20,13,NA,NA,NA,NA,','1,'2-4,'5-6,'7-9,'10-15,'16-17,'18-19,','20+,NA,NA,NA,NA,NA,1,NA,,,,,,,,,,
613,'03,UL,TD,33,Twins,Michael Cuddyer,140,R,LF-RF+1,,R,9,7,20,12,NA,NA,NA,NA,','1-2,'3-5,'6-7,'8-9,'10-16,','17-19,','20+,NA,NA,NA,NA,NA,1,NA,1,,,,,,,,,
614,'03,UL,PR,33,Angels,Scott Schoeneweis,220,,Reliever,,L,NA,NA,NA,NA,4,16,24,2,'1,'2-5,'6-14,'15-16,'17,'18-19,','20-23,','24+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
615,'04,UL,Base,33,Orioles,Tony Batista,80,,3B+1,,R,9,8,19,10,NA,NA,NA,NA,','1-2,'3-4,'5-8,'9-10,'11-17,','18,','19+,NA,NA,NA,NA,1,NA,NA,,,,,,,,,,
616,'04,UL,TD,33,Athletics,Eric Karros,160,,1B+0,,R,10,6,20,12,NA,NA,NA,NA,','1,'2-4,'5-6,'7-10,'11-17,','18-19,','20+,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,
617,'04,P,Base,33,Cubs,Hee Seop Choi,100,,1B+1,,L,11,6,20,10,NA,NA,NA,NA,','1-3,'4-5,'6,'7-12,'13-16,','17-19,','20+,NA,1,NA,NA,NA,NA,NA,,,,,,,,,,
618,'04,UL,PR,33,Twins,Joe Mauer,260,R,C+7,,L,11,7,20,11,NA,NA,NA,NA,','1-0,'2-4,'5-7,'8-11,'12-16,','17-19,','20+,7,NA,NA,NA,NA,NA,NA,1,,,,,,,,,
619,'05,UL,Base,33,Braves,Jaret Wright,420,,Starter,,R,NA,NA,NA,NA,4,16,27,6,'1,'2-6,'7-12,'13-16,'17,'18-19,','20-26,','27+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
620,'05,UL,TD,33,Royals,Jose Lima,350,,Starter,,R,NA,NA,NA,NA,4,16,22,5,'1-2,'3-5,'6-12,'13-16,','17-18,','19-21,','22+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
621,'00,1st,Base,33,Braves,Tom Glavine,450,,Starter,,L,NA,NA,NA,NA,4,15,NA,7,'4-6,'1-3,'7-12,'13-15,'16,'17-20,',',',',NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
622,'00,1st,PR,33,White Sox,Sean Lowe,120,,Reliever,,R,NA,NA,NA,NA,3,16,NA,1,'4-5,'1-3,'6-12,'13-16,'17-18,'19-20,',',',',NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
623,'01,1st,Base,33,Braves,Rafael Furcal,250,,SS+1,,S,9,3,NA,20,NA,NA,NA,NA,','1,'2-3,','4-10,'11-16,'17-19,'20,',',NA,NA,NA,1,NA,NA,NA,,,,,,,,,,
624,'01,1st,PR,33,Phillies,Jimmy Rollins,170,,SS+3,,S,7,5,20,20,NA,NA,NA,NA,','1-2,'3-4,'5,'6-9,'10-14,'15-16,'17,'18-19,'20+,NA,NA,NA,3,NA,NA,NA,,,,,,,,,,
625,'01,UL,Base,33,Braves,Rafael Furcal,250,,SS+1,,S,9,3,NA,20,NA,NA,NA,NA,','1,'2-3,','4-10,'11-16,'17-19,'20,',',NA,NA,NA,1,NA,NA,NA,,,,,,,,,,
626,'02,UL,Base,33,Braves,Javy Lopez,150,,C+5,,R,10,7,19,11,NA,NA,NA,NA,','1-2,'3-6,'7,'8-10,'11-17,','18,','19+,5,NA,NA,NA,NA,NA,NA,,,,,,,,,,
627,'00,1st,Base,34,Braves,Jose Hernandez,230,,SS+3,,R,7,3,18,15,NA,NA,NA,NA,','1-2,'3,','4-7,'8-15,'16,'17,','18-20,NA,NA,NA,3,NA,NA,NA,,,,,,,,,,
628,'00,1st,PR,34,White Sox,Jose Valentin,220,,SS+1,,S,7,4,18,15,NA,NA,NA,NA,','1,','2-4,'5-13,'14-15,','16-17,','18-20,NA,NA,NA,1,NA,NA,NA,,,,,,,,,,
629,'01,1st,Base,34,Braves,Andres Galarraga,300,,1B+0,,R,8,3,17,15,NA,NA,NA,NA,','1-2,'3,','4-6,'7-14,','15-16,','17-20,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,
630,'01,1st,PR,34,Expos,Carl Pavano,400,,Starter,,R,NA,NA,NA,NA,2,17,NA,6,'1-3,'4-6,'7-13,'14-17,'18,'19-20,',',',',NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
631,'02,UL,Base,34,Braves,Greg Maddux,560,,Starter,,R,NA,NA,NA,NA,4,17,26,7,'1-3,'4-7,'8-14,'15-17,','18-25,',',','26+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
632,'02,UL,TD,34,Cardinals,Tino Martinez,170,,1B+0,,L,10,7,18,13,NA,NA,NA,NA,','1,'2-6,'7,'8-9,'10-16,','17,','18+,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,
633,'02,UL,PR,34,Brewers,Geoff Jenkins,80,,LF-RF+2,,L,8,7,19,14,NA,NA,NA,NA,','1-6,','7,'8-10,'11-16,','17-18,','19+,NA,NA,NA,NA,NA,2,NA,,,,,,,,,,
634,'02,ASG,ASG,34,Rockies,Todd Helton,660,,1B+1,,R,13,6,19,14,NA,NA,NA,NA,','1-3,'4,'5-6,'7-11,'12-14,'15,'16-17,'18,'19+,NA,1,NA,NA,NA,NA,NA,,,,,,,,,,
635,'03,UL,Base,34,Braves,Kevin Millwood,440,,Starter,,R,NA,NA,NA,NA,4,16,24,6,'1,'2-6,'7-12,'13-16,'17,'18-19,','20-23,','24+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
636,'03,P,Base,34,White Sox,Frank Thomas,190,,DH,,R,10,6,19,10,NA,NA,NA,NA,','1-2,'3,'4-6,'7-12,'13-17,','18,','19+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
637,'03,UL,TD,34,Brewers,Glendon Rusch,140,,Starter,,L,NA,NA,NA,NA,2,16,23,6,'1-3,'4-7,'8-14,'15-16,'17,'18-19,','20-22,','23+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
638,'03,UL,PR,34,Athletics,John Halama,130,,Starter,,L,NA,NA,NA,NA,3,16,22,5,'1-3,'4-6,'7-14,'15-16,'17,'18-19,','20-21,','22+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
639,'04,UL,Base,34,Orioles,Deivi Cruz,60,,SS+2,,R,9,8,20,9,NA,NA,NA,NA,','1,'2-5,'6-8,'9,'10-17,','18-19,','20+,NA,NA,NA,2,NA,NA,NA,,,,,,,,,,
640,'04,UL,TD,34,Athletics,Mark Kotsay,160,,CF+2,,L,10,6,20,11,NA,NA,NA,NA,','1,'2-4,'5-6,'7-10,'11-17,','18-19,','20+,NA,NA,NA,NA,NA,NA,2,,,,,,,,,,
641,'04,P,Base,34,Expos,Henry Mateo,110,,2B+4,OF+0,S,10,6,20,16,NA,NA,NA,NA,','1-2,'3-5,'6,'7-9,'10-16,'17-18,'19,','20+,NA,NA,4,NA,NA,0,0,,,,,,,,,,
642,'04,UL,PR,34,Tigers,Nate Robertson,10,R,Starter,,L,NA,NA,NA,NA,1,15,24,5,'1,'2-7,'8-13,'14-15,'16-17,'18-19,','20-23,','24+,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,,,
643,'05,UL,Base,34,Orioles,Buddy Groom,20,,Reliever,,L,NA,NA,NA,NA,1,15,25,1,'1,'2-4,'5-11,'12-15,'16,'17-19,','20-24,','25+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
